#NSGA2
popsize 50
maxGen 200
numVar 6
numObj 3
numCons 1
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 200
currentGen	1
evaluateCount	50
totalTime	18.5362
firstFrontCount	8
frontCount	5
avgEvalTime	1.28523
#end
Var1	Var2	Var3	Var4	Var5	Var6	Obj1	Obj2	Obj3	Cons1	
 2.000000000000	 0.714552443518	964.230432275116	765.039564813540	 0.000000000000	 0.000000000000	2.2549	0.512219	-0	0.5	
 2.000000000000	 0.171881733932	631.358271205310	397.906974312794	 0.000000000000	 0.000000000000	1.73783	0.435515	-0	0	
 1.000000000000	 0.298616350379	319.461087824760	352.080670756391	 0.000000000000	 0.000000000000	10	1	-1	1	
 2.000000000000	 0.948261502053	246.187686958762	932.103602012485	 0.000000000000	 0.000000000000	10	1	-0	1	
 2.000000000000	 0.020863534976	495.051203281303	430.109681313735	 0.000000000000	 0.000000000000	10	1	-0	1	
 1.000000000000	 0.911784845788	164.961208942503	194.161789657319	 0.000000000000	 0.000000000000	10	1	-1	2	
 2.000000000000	 0.154018499023	743.619405801822	201.527853195879	 0.000000000000	 0.000000000000	10	1	-0	1	
 2.000000000000	 0.436507231139	566.413462229370	702.768098529273	 0.000000000000	 0.000000000000	10	1	-0	1	
 1.000000000000	 0.915891408210	778.427579869357	120.616528444261	 0.000000000000	 0.000000000000	10	1	-1	1	
 2.000000000000	 0.552356488027	351.077986238383	675.755941332008	 0.000000000000	 0.000000000000	2.36187	0.300071	-0	0	
 1.000000000000	 0.818955794772	621.018595111406	422.817644150133	 0.000000000000	 0.000000000000	10	1	-1	1	
 2.000000000000	 0.688833909028	565.377873615010	976.172818573942	 0.000000000000	 0.000000000000	2.77529	0.31584	-0	0	
 1.000000000000	 0.077899499802	606.792163355137	183.107043610855	 0.000000000000	 0.000000000000	2.26383	0.499195	-1	0	
 1.000000000000	 0.620689502527	504.824901079492	746.146230877002	 0.000000000000	 0.000000000000	10	1	-1	1	
 2.000000000000	 0.344026889836	951.606992711936	774.140362564831	 0.000000000000	 0.000000000000	10	1	-0	1	
 2.000000000000	 0.867351335492	943.076651565239	465.181383656728	 0.000000000000	 0.000000000000	1.72269	0.508151	-0	0.5	
 2.000000000000	 0.540901345968	855.509422131701	363.563493687315	 0.000000000000	 0.000000000000	1.49144	0.425442	-0	0	
 1.000000000000	 0.191634178752	214.389863114239	910.513439969816	 0.000000000000	 0.000000000000	10	1	-1	1	
 2.000000000000	 0.303837710853	515.474276451548	149.466898922174	 0.000000000000	 0.000000000000	10	1	-0	1	
 1.000000000000	 0.843277971672	749.946300518635	972.967841316810	 0.000000000000	 0.000000000000	10	1	-1	1	
 1.000000000000	 0.197324559925	495.783517861711	359.570646742189	 0.000000000000	 0.000000000000	2.43128	0.378845	-1	0	
 2.000000000000	 0.485200771355	525.355815274895	297.825215679962	 0.000000000000	 0.000000000000	1.39683	0.439252	-0	0	
 2.000000000000	 0.503496145086	667.378403299697	982.169768433975	 0.000000000000	 0.000000000000	10	1	-0	1	
 2.000000000000	 0.023436217704	309.904866421544	748.996254263948	 0.000000000000	 0.000000000000	10	1	-0	1	
 1.000000000000	 0.807244903374	709.370863472975	789.139396892502	 0.000000000000	 0.000000000000	10	1	-1	1	
 2.000000000000	 0.798778846083	870.813613382938	736.638289418097	 0.000000000000	 0.000000000000	2.46641	0.520708	-0	0.5	
 1.000000000000	 0.211146780593	786.941799878544	753.991685509001	 0.000000000000	 0.000000000000	4.52338	0.681339	-1	0.5	
 2.000000000000	 0.974354627621	390.317325889718	812.892892124174	 0.000000000000	 0.000000000000	10	1	-0	1	
 2.000000000000	 0.072986371616	464.845584473723	860.921651014607	 0.000000000000	 0.000000000000	10	1	-0	1	
