#NSGA2
popsize 50
maxGen 10
numVar 6
numObj 3
numCons 1
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 10
currentGen	1
evaluateCount	50
totalTime	21.7069
firstFrontCount	5
frontCount	6
avgEvalTime	0.433338
#end
Var1	Var2	Var3	Var4	Var5	Var6	Obj1	Obj2	Obj3	Cons1	
 2.000000000000	 0.714807050474	227.949565191542	723.626681352965	 0.000000000000	 0.000000000000	2.20673	0.538591	-0	0.5	
 2.000000000000	 0.497508484655	157.575266428789	571.183455806564	 0.000000000000	 0.000000000000	2.21136	0.519476	-0	0.5	
 1.000000000000	 0.202585480488	892.543863260421	296.244730489175	 0.000000000000	 0.000000000000	3.59505	0.815384	-1	0.5	
 2.000000000000	 0.571084463055	831.914611918800	177.561644824053	 0.000000000000	 0.000000000000	1.08147	0.521291	-0	0.5	
 1.000000000000	 0.742962315666	643.057655951924	818.599829289866	 0.000000000000	 0.000000000000	10	1	-1	1	
 2.000000000000	 0.881311092352	486.317832765141	268.734502261571	 0.000000000000	 0.000000000000	1.18448	0.584803	-0	0.5	
 1.000000000000	 0.361884766096	663.040050753573	944.943890608129	 0.000000000000	 0.000000000000	10	1	-1	1	
 2.000000000000	 0.926216579676	378.947106994528	168.827822424184	 0.000000000000	 0.000000000000	0.910761	0.664369	-0	0.5	
 1.000000000000	 0.440169171436	644.501663349922	214.318474817807	 0.000000000000	 0.000000000000	10	1	-1	1	
 1.000000000000	 0.441073345439	343.989475511601	949.696235977745	 0.000000000000	 0.000000000000	10	1	-1	1	
 1.000000000000	 0.469597538617	801.498849148830	251.931582375273	 0.000000000000	 0.000000000000	10	1	-1	2	
 2.000000000000	 0.413680063638	923.293211298771	529.462699818416	 0.000000000000	 0.000000000000	10	1	-0	1	
 2.000000000000	 0.703650986778	725.178179290934	104.134243909558	 0.000000000000	 0.000000000000	0.877321	0.648684	-0	0.5	
 2.000000000000	 0.543535701837	294.398207297738	596.894353879871	 0.000000000000	 0.000000000000	10	1	-0	1	
 1.000000000000	 0.775070711441	118.347718123305	228.369501043029	 0.000000000000	 0.000000000000	10	1	-1	1	
 2.000000000000	 0.015897928591	380.254970554618	273.494807063121	 0.000000000000	 0.000000000000	10	1	-0	1	
 2.000000000000	 0.764278223471	749.041465121479	840.445635125356	 0.000000000000	 0.000000000000	2.75081	0.359891	-0	0	
 1.000000000000	 0.027923207437	101.174034567633	106.298178125123	 0.000000000000	 0.000000000000	10	1	-1	1	
 2.000000000000	 0.418882510440	634.431352235539	349.282821261778	 0.000000000000	 0.000000000000	1.52375	0.432521	-0	0	
 1.000000000000	 0.078593618085	128.859622833662	251.351564192570	 0.000000000000	 0.000000000000	10	1	-1	1	
 1.000000000000	 0.191160545321	158.607466722233	951.409019259966	 0.000000000000	 0.000000000000	10	1	-1	1	
 1.000000000000	 0.241743103981	769.071337218310	240.403433604489	 0.000000000000	 0.000000000000	10	1	-1	2	
 2.000000000000	 0.653220746976	355.702871132742	880.509518813550	 0.000000000000	 0.000000000000	10	1	-0	1	
 2.000000000000	 0.618874649449	748.670950413005	517.465005228197	 0.000000000000	 0.000000000000	10	1	-0	1	
 1.000000000000	 0.091451774394	251.139330443758	948.023301672405	 0.000000000000	 0.000000000000	10	1	-1	1	
 2.000000000000	 0.038489689233	233.346753418528	266.287692066415	 0.000000000000	 0.000000000000	10	1	-0	1	
 2.000000000000	 0.494038071987	802.789702531986	347.188433384777	 0.000000000000	 0.000000000000	1.52556	0.420835	-0	0	
 1.000000000000	 0.329793416868	341.468889305708	294.330535448723	 0.000000000000	 0.000000000000	10	1	-1	1	
 1.000000000000	 0.165021996898	904.027573020191	951.210826469577	 0.000000000000	 0.000000000000	10	1	-1	1	
 1.000000000000	 0.122085149180	956.663069278810	343.162313085291	 0.000000000000	 0.000000000000	4.55733	0.618965	-1	0.5	
 2.000000000000	 0.908820927880	115.012339833363	963.359850751349	 0.000000000000	 0.000000000000	10	1	-0	1	
 1.000000000000	 0.970571734826	611.301959058341	346.573306373330	 0.000000000000	 0.000000000000	10	1	-1	1	
 1.000000000000	 0.433889439762	456.313115087388	482.721842199012	 0.000000000000	 0.000000000000	2.55524	0.274226	-1	0	
 1.000000000000	 0.034270894866	458.893402381410	981.505073139614	 0.000000000000	 0.000000000000	10	1	-1	1	
 1.000000000000	 0.290516522346	891.076461939399	801.229772900605	 0.000000000000	 0.000000000000	10	1	-1	1	
 1.000000000000	 0.466377982452	482.438065172388	509.689037836992	 0.000000000000	 0.000000000000	10	1	-1	1	
 2.000000000000	 0.130017518881	546.875842661617	333.692636135663	 0.000000000000	 0.000000000000	10	1	-0	1	
 2.000000000000	 0.063009501370	264.922443949503	661.817788516570	 0.000000000000	 0.000000000000	10	1	-0	1	
 1.000000000000	 0.956617051123	366.951782837193	313.482587785576	 0.000000000000	 0.000000000000	10	1	-1	2	
 1.000000000000	 0.309584364488	301.573636331874	725.760458670850	 0.000000000000	 0.000000000000	10	1	-1	1	
 2.000000000000	 0.570332384498	577.828293866904	872.997710248912	 0.000000000000	 0.000000000000	2.47442	0.483931	-0	0	
 2.000000000000	 0.305039973652	190.997002348728	434.745430702450	 0.000000000000	 0.000000000000	10	1	-0	1	
 2.000000000000	 0.430034052361	658.955374835439	351.167193566106	 0.000000000000	 0.000000000000	1.57934	0.418285	-0	0	
 2.000000000000	 0.743161265790	229.880071369309	161.438584645789	 0.000000000000	 0.000000000000	0.960331	0.586261	-0	0.5	
